epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,61.0889,1.41498,0.8973,0.93422,0.85255,0.76158,0.87375,0.53934,1.09197,0.76564,0.94147,0.00104231,0.00104231,0.00104231
43,62.4682,1.38655,0.8449,0.9294,0.83086,0.83456,0.89264,0.5762,1.07013,0.758,0.94022,0.00103288,0.00103288,0.00103288
44,63.8722,1.35623,0.85321,0.92852,0.87193,0.80712,0.88621,0.57185,1.05242,0.75625,0.93989,0.00102345,0.00102345,0.00102345
45,65.2985,1.28331,0.81044,0.91647,0.86544,0.8467,0.90737,0.60337,1.0196,0.73879,0.92353,0.00101402,0.00101402,0.00101402
46,66.7479,1.25473,0.80328,0.94075,0.86038,0.80306,0.89941,0.58279,1.04439,0.73054,0.92363,0.00100459,0.00100459,0.00100459
47,68.1383,1.33889,0.83137,0.92277,0.88478,0.79906,0.8941,0.56021,1.02445,0.75348,0.91927,0.000995156,0.000995156,0.000995156
48,69.5676,1.3215,0.83256,0.9172,0.8339,0.82215,0.89978,0.55814,1.05051,0.7591,0.92566,0.000985724,0.000985724,0.000985724
49,70.9602,1.3182,0.83647,0.93091,0.89638,0.79032,0.90171,0.54846,1.11177,0.73744,0.93452,0.000976293,0.000976293,0.000976293
50,72.36,1.32457,0.83285,0.91484,0.85549,0.82877,0.89746,0.57592,1.06636,0.74757,0.92802,0.000966861,0.000966861,0.000966861
51,73.8092,1.29736,0.82401,0.92055,0.84256,0.82916,0.89329,0.58693,1.00098,0.70814,0.92732,0.00095743,0.00095743,0.00095743
52,75.2135,1.32608,0.81794,0.92441,0.87263,0.82491,0.90525,0.60176,1.04045,0.70579,0.92535,0.000947999,0.000947999,0.000947999
53,76.6158,1.28357,0.79607,0.91356,0.84461,0.78548,0.88776,0.59378,1.0397,0.71432,0.93265,0.000938567,0.000938567,0.000938567
54,78.0402,1.26978,0.80315,0.92608,0.87394,0.82026,0.89472,0.60327,0.9991,0.71025,0.91611,0.000929136,0.000929136,0.000929136
55,79.4519,1.26093,0.78091,0.90915,0.85394,0.83709,0.89622,0.57321,1.01163,0.69946,0.92657,0.000919704,0.000919704,0.000919704
